求和项:Average Cost Time,列标签,,,,
行标签,signcrypting_AEAD,signcrypting_Zheng,unsigncrypting_AEAD,unsigncrypting_Zheng,总计
SDSS1,363.7757,498.7904,345.48224,463.8392,1671.88754
10KB,37.4072,42.7078,28.79344,33.0377,141.94614
ffdhe3072,14.9957,17.5198,10.58364,12.8478,55.94694
ffdhe4096,22.4115,25.188,18.2098,20.1899,85.9992
10MB,60.6175,80.5066,53.6038,68.3745,263.1024
ffdhe3072,26.2071,36.019,22.7901,29.8834,114.8996
ffdhe4096,34.4104,44.4876,30.8137,38.4911,148.2028
100MB,265.751,375.576,263.085,362.427,1266.839
ffdhe3072,127.648,183.546,124.548,176.976,612.718
ffdhe4096,138.103,192.03,138.537,185.451,654.121
SDSS2,429.2515,581.2712,405.8439,551.3771,1967.7437
10KB,37.5417,42.9537,29.2791,33.5507,143.3252
ffdhe3072,14.9796,17.356,10.6663,12.8737,55.8756
ffdhe4096,22.5621,25.5977,18.6128,20.677,87.4496
10MB,60.3238,80.6715,54.2168,68.7534,263.9655
ffdhe3072,26.5356,36.441,23.3097,30.3085,116.5948
ffdhe4096,33.7882,44.2305,30.9071,38.4449,147.3707
100MB,331.386,457.646,322.348,449.073,1560.453
ffdhe3072,158.991,222.672,153.766,217.794,753.223
ffdhe4096,172.395,234.974,168.582,231.279,807.23
总计,793.0272,1080.0616,751.32614,1015.2163,3639.63124
