平均值项:enc_elapsed_time_sd,列标签,,,,,,
行标签,10240,102400,1048576,10485760,104857600,524288000,总计
imessage,0.001372483,0.001499404,0.002956245,0.01521669,0.133581997,0.659614568,0.135706898
ecies_signature,0.001620867,0.001688372,0.002690315,0.010220437,0.081405946,0.399580728,0.082867778
hpke_auth,0.00281975,0.002879823,0.003484086,0.007240143,0.039656331,0.186617511,0.040449607
hybrid_signcryption,0.000496077,0.000557408,0.00115207,0.004806363,0.037311431,0.183356838,0.037946698
总计,0.001577294,0.001656252,0.002570679,0.009370908,0.072988926,0.357292411,0.074242745
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Type,10KB,100KB,1MB,10MB,100MB,500MB,
iMessage,1.37 ,1.50 ,2.96 ,15.22 ,133.58 ,659.61 ,
ECIES-Sig,1.62 ,1.69 ,2.69 ,10.22 ,81.41 ,399.58 ,
HPKE Auth/AuthPSK,2.82 ,2.88 ,3.48 ,7.24 ,39.66 ,186.62 ,
Our Scheme,0.50 ,0.56 ,1.15 ,4.81 ,37.31 ,183.36 ,
